INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
86,Coagulation Factor XA,3.4.21.6,2XC0,Homo sapiens
82,Coagulation Factor XA,3.4.21.6,2XBV,Homo sapiens
128,Coagulation Factor XA,3.4.21.6,5K0H,Homo sapiens
20,Coagulation Factor XA,3.4.21.6,1LPK,Homo sapiens
60,Coagulation Factor XA,3.4.21.6,2P95,Homo sapiens
71,Coagulation Factor XA,3.4.21.6,2VVU,Homo sapiens
106,Coagulation Factor XA,3.4.21.6,3KQC,Homo sapiens
14,Coagulation Factor XA,3.4.21.6,1IQK,Homo sapiens
92,Coagulation Factor XA,3.4.21.6,2Y7X,Homo sapiens
51,Coagulation Factor XA,3.4.21.6,2J4I,Homo sapiens
102,Coagulation Factor XA,3.4.21.6,3IIT,Homo sapiens
