INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
153,P38 MAP Kinase,2.7.11.24,4EH4,Homo sapiens
43,P38 MAP Kinase,2.7.11.24,3BV3,Homo sapiens
137,P38 MAP Kinase,2.7.11.24,3ZSG,Homo sapiens
3,P38 MAP Kinase,2.7.11.24,1BMK,Homo sapiens
105,P38 MAP Kinase,2.7.11.24,3L8S,Homo sapiens
53,P38 MAP Kinase,2.7.11.24,3FI4,Homo sapiens
133,P38 MAP Kinase,2.7.11.24,3UVP,Homo sapiens
197,P38 MAP Kinase,2.7.11.24,6SFO,Homo sapiens
156,P38 MAP Kinase,2.7.11.24,4EH7,Homo sapiens
184,P38 MAP Kinase,2.7.11.24,5XYY,Homo sapiens
49,P38 MAP Kinase,2.7.11.24,3DT1,Homo sapiens
80,P38 MAP Kinase,2.7.11.24,3HEC,Homo sapiens
34,P38 MAP Kinase,2.7.11.24,2RG5,Homo sapiens
7,P38 MAP Kinase,2.7.11.24,1KV2,Homo sapiens
110,P38 MAP Kinase,2.7.11.24,3LFD,Homo sapiens
91,P38 MAP Kinase,2.7.11.24,3HV5,Homo sapiens
83,P38 MAP Kinase,2.7.11.24,3HLL,Homo sapiens
175,P38 MAP Kinase,2.7.11.24,5N66,Homo sapiens
180,P38 MAP Kinase,2.7.11.24,5TBE,Homo sapiens
89,P38 MAP Kinase,2.7.11.24,3HV3,Homo sapiens
8,P38 MAP Kinase,2.7.11.24,1M7Q,Homo sapiens
13,P38 MAP Kinase,2.7.11.24,1W7H,Homo sapiens
59,P38 MAP Kinase,2.7.11.24,3FLQ,Homo sapiens
170,P38 MAP Kinase,2.7.11.24,5MTX,Homo sapiens
131,P38 MAP Kinase,2.7.11.24,3S4Q,Homo sapiens
17,P38 MAP Kinase,2.7.11.24,1WBN,Homo sapiens
72,P38 MAP Kinase,2.7.11.24,3GC7,Homo sapiens
174,P38 MAP Kinase,2.7.11.24,5N65,Homo sapiens
134,P38 MAP Kinase,2.7.11.24,3UVQ,Homo sapiens
166,P38 MAP Kinase,2.7.11.24,4KIQ,Homo sapiens
182,P38 MAP Kinase,2.7.11.24,5WJJ,Homo sapiens
63,P38 MAP Kinase,2.7.11.24,3FLZ,Homo sapiens
